date_ferie;libelle;couleur
2015-11-01;Toussaint;f44336
2015-12-25;Noël;
2016-01-01;"Jour de l'an";
2016-03-28;"Lundi de Pâques";
2016-05-01;"Fête du Travail";
2016-05-05;Ascension;
2016-05-08;"Armistice 1945";
2016-05-16;"Lundi de Pentecôte";
2016-07-14;"Fête Nationale";
2016-08-15;Assomption;
2016-11-01;Toussaint;
2016-12-25;Noël;
2017-01-01;"Jour de l'an";
2017-04-17;"Lundi de Pâques";
2017-05-01;"Fête du Travail";
2017-05-08;"Armistice 1945";
2017-05-25;Ascension;
2017-06-05;"Lundi de Pentecôte";
2017-07-14;"Fête Nationale";
2017-08-15;Assomption;
2017-11-11;"Armistice 1918";
2017-12-25;Noël;
2018-01-01;"Jour de l'an";
2018-04-02;"Lundi de Pâques";
2018-05-01;"Fête du Travail";
2018-05-08;"Armistice 1945";
2018-05-10;Ascension;
2018-05-21;"Lundi de Pentecôte";
2018-07-14;"Fête Nationale";
2018-08-15;Assomption;
2018-11-11;"Armistice 1918";
2018-12-24;"RTT imposé";
2018-12-25;Noël;
2018-12-31;"RTT imposé";
2019-01-01;"Jour de l'an";
2019-04-22;"Lundi de Pâques";
2019-05-01;"Fête du Travail";
2019-05-08;"Armistice 1945";
2019-05-30;Ascension;
2019-06-10;"Lundi de Pentecôte";
2019-07-14;"Fête Nationale";
2019-08-15;Assomption;
2019-11-11;"Armistice 1918";
2019-12-25;Noël;
2020-01-01;"Jour de l'an";
2020-04-13;"Lundi de Pâques";
2020-05-01;"Fête du Travail";
2020-05-08;"Armistice 1945";
2020-05-21;Ascension;
2020-06-01;"Lundi de Pentecôte";
2020-07-14;"Fête Nationale";
2020-08-15;Assomption;
2020-11-01;Toussaint;
2020-12-25;Noël;
2021-01-01;;
2021-04-05;"Lundi de Pâques";
2021-05-13;Ascension;
2021-05-24;"Lundi de Pentecôte";
2021-07-14;"Fête Nationale";
2021-11-01;Toussaint;
2021-11-11;Armistice;
2021-12-25;Noël;
2022-01-01;"Nouvel An";
2022-04-18;"Lundi de Pâques";
2022-05-26;Ascension;
2022-06-06;"Lundi de Pentecôte";
2022-07-14;"Fête Nationale";
2022-08-15;Assomption;
2022-11-01;Toussaint;
2022-12-25;Noël;
2023-04-10;"Lundi de Pâques";
2023-05-01;"Fête du Travail";
2023-05-08;"Armistice 1945";
2023-05-18;Ascension;
2023-05-29;"Lundi de Pentecôte";
2023-07-14;"Fête Nationale";
2023-08-15;Assomption;
2023-12-25;Noël;
2024-01-01;"Jour de l'An";
2024-04-01;"Lundi de Pâques";
2024-05-01;"Fête du Travail";
2024-05-08;"Victoire 1945";
2024-05-09;Ascension;
2024-05-20;"Lundi de Pentecôte";
2024-08-15;Assomption;
2024-11-11;"Armistice 1918";
2024-12-25;Noël;
2025-01-01;"Nouvel An";
2025-04-21;"Lundi de Pâques";
2025-05-01;"Fête du travail";
2025-05-08;"Victoire 1945";
2025-05-29;Ascension;
2025-06-09;"Lundi de Pentecôte";
2025-07-14;"Fête Nationale";
2025-08-15;Assomption;
2025-12-25;Noël;
